Wendy's groceries sales report,,,,,,,Legacy Liquor Store,,,,,,,,,,,,,,,,,,,,
"Txn Date [1/7/2016] To [31/12/2016]Category[] To [ZZ], Subcategory[] To [ZZZZ]Vendor[] To [ZZZZZZ]Item #[] To [ZZZZZZZZZZZZZZZZZZZZ]Salesperson [] To [ZZZZZZ]Based on Sales Amount>=-99999Item Status =  Active, Discontinued, Dormant, Future""Qty Sold"" Includes ""Kit Sold"" QtySort by Category/Subcategory, then by Item Description
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,On Hand,,Combo packs sold,,,,,Qty Sold,,Gross Sales,,Discounts,,Net Sales,,COGS,,TOTAL LOGS,,Gross profit,,Profit Margin,,,,
Subcategory : 5225 WHITE-CAN,,4 643,,0,,,,,794,,11 594.98,,102.83,,11 492.15,,7 790.10,,2 077.21,,1 624.84,,14.14,,,,
Subcategory : 5230 WHITE-CHL,,269,,0,,,,,69,,899.18,,1.32,,897.86,,592.40,,157.96,,147.50,,16.43,,,,
Subcategory : 5235 WHITE-LAT,,12,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5240 WHITE-FRA,,372,,0,,,,,32,,554.21,,0.00,,554.21,,372.50,,99.33,,82.38,,14.87,,,,
Subcategory : 5245 WHITE-GER,,88,,0,,,,,16,,382.80,,0.00,,382.80,,253.82,,67.68,,61.30,,16.01,,,,
Subcategory : 5250 WHITE-GRE,,13,,0,,,,,1,,15.26,,0.00,,15.26,,10.23,,2.73,,2.30,,15.09,,,,
Subcategory : 5255 WHITE-ITA,,527,,0,,,,,105,,1 517.49,,4.91,,1 512.58,,1 037.63,,276.68,,198.27,,13.11,,,,
Subcategory : 5260 WHITE-NZL,,175,,0,,,,,82,,1 538.17,,0.00,,1 538.17,,1 040.28,,277.39,,220.50,,14.34,,,,
Subcategory : 5265 WHITE-PRT,,22,,0,,,,,15,,184.27,,0.00,,184.27,,114.60,,30.56,,39.11,,21.23,,,,
Subcategory : 5270 WHITE RHONE-FRA,,2,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5275 WHITE-ZAF,,82,,0,,,,,14,,275.18,,3.27,,271.91,,191.33,,51.02,,29.56,,10.87,,,,
Subcategory : 5280 WHITE-ESP,,129,,0,,,,,14,,287.91,,1.96,,285.95,,216.90,,57.84,,11.21,,3.92,,,,
Subcategory : 5290 WHITE-USA,,275,,0,,,,,50,,1 052.35,,0.00,,1 052.35,,778.94,,207.70,,65.71,,6.24,,,,
Subcategory : 5295 WHITE-RUS,,37,,0,,,,,1,,32.74,,0.00,,32.74,,21.91,,5.84,,4.99,,15.23,,,,
Subcategory : 5305 CELLAR PRT-USA,,10,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5310 CELLAR RED-AUS,,8,,0,,,,,2,,1 071.22,,107.12,,964.10,,813.25,,216.85,,-66.00,,-6.85,,,,
Subcategory : 5315 CELLAR RED BORDEAUX-FRA,,351,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5320 CELLAR RED BURGUNDY-FRA,,134,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5321 CELLAR WHTE BURGUNDY-FRA,,75,,0,,,,,1,,191.26,,0.00,,191.26,,131.25,,35.00,,25.01,,13.08,,,,
Subcategory : 5330 CELLAR RED-CHL,,12,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5346 CELLAR WHTE-GER,,3,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5355 CELLAR RED-ITA,,191,,0,,,,,4,,478.52,,0.00,,478.52,,423.23,,112.85,,-57.56,,-12.03,,,,
Subcategory : 5360 CELLAR CHAMPAGNE-FRA,,108,,0,,,,,9,,1 152.03,,0.00,,1 152.03,,860.52,,229.46,,62.05,,5.39,,,,
Subcategory : 5364 CELLAL DESSERT WINES-FRA,,31,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5370 CELLAR RED RHONE-FRA,,8,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5371 CELLAR WHTE RHONE-FRA,,4,,0,,,,,1,,114.48,,0.00,,114.48,,76.70,,20.45,,17.33,,15.14,,,,
Subcategory : 5375 CELLAR LARGER FORMAT-RUS,,19,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5380 CELLAR RED-SPAIN,,16,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5390 CELLAR RED-USA,,137,,0,,,,,31,,10 266.22,,-39.25,,10 305.47,,7 630.98,,2 034.78,,639.71,,6.21,,,,
Subcategory : 5391 CELLAR WHTE-USA,,13,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Category : 50 Wine,,19 726,,0,,,,,3 039,,67 797.27,,457.99,,67 339.28,,47 420.52,,12 644.55,,7 274.21,,10.8,,,,
Category : 55 SAKE-JPN,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 5080 SAKE,,436,,0,,,,,60,,1 360.29,,0.00,,1 360.29,,908.45,,242.24,,209.60,,15.41,,,,
Category : 55 SAKE-JPN,,436,,0,,,,,60,,1 360.29,,0.00,,1 360.29,,908.45,,242.24,,209.60,,15.41,,,,
Category : 60 N/A Beverages,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 6001 NA BEVERAGES-RUS,,938,,0,,,,,25,,443.78,,0.00,,443.78,,319.16,,85.10,,39.52,,8.9,,,,
Subcategory : 8020 POP-PRT,,890,,0,,,,,52,,192.33,,0.00,,192.33,,143.03,,38.14,,11.16,,5.8,,,,
Category : 60 N/A Beverages,,1 828,,0,,,,,77,,636.11,,0.00,,636.11,,462.19,,123.24,,50.68,,7.97,,,,
Category : 70 Tobacco Product,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 7001 CIGARETTES-USA,,329,,0,,,,,82,,914.33,,0.00,,914.33,,784.81,,209.27,,-79.75,,-8.72,,,,
Subcategory : 7005 CIGARS-CUBA,,1 389,,0,,,,,19,,308.06,,0.00,,308.06,,179.09,,47.75,,81.22,,26.36,,,,
Subcategory : 7010 MISC TOBACCO-RUS,,119,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Category : 70 Tobacco Product,,1 837,,0,,,,,101,,1 222.39,,0.00,,1 222.39,,963.90,,257.02,,1.47,,0.12,,,,
Category : 80 Food,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 8010 FOOD-USA,,1 402,,0,,,,,90,,1 128.79,,0.00,,1 128.79,,863.21,,230.17,,35.41,,3.14,,,,
Category : 80 Food,,1 402,,0,,,,,90,,1 128.79,,0.00,,1 128.79,,863.21,,230.17,,35.41,,3.14,,,,
Category : 90 Misc Items,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 7050 GLASSWARE-USA,,-207,,0,,,,,5,,82.28,,0.00,,82.28,,46.39,,12.37,,23.52,,28.59,,,,
Subcategory : 7065 LEGACY BAGS-MEX,,376,,0,,,,,16,,87.30,,0.00,,87.30,,46.25,,12.33,,28.72,,32.9,,,,
Subcategory : 7095 BOOKS-UK,,77,,0,,,,,2,,43.04,,0.00,,43.04,,23.88,,6.37,,12.79,,29.72,,,,
Subcategory : 9005 MISCELLANEOUS-USA,,-202,,0,,,,,133,,259.37,,0.00,,259.37,,42.26,,11.27,,205.84,,79.36,,,,
Subcategory : 9006 SHIPPING-USA,,-1 595,,0,,,,,8,,144.35,,0.00,,144.35,,0.00,,0.00,,144.35,,100,,,,
Subcategory : 9008 TICKETS-USA,,238,,0,,,,,29,,776.20,,0.00,,776.20,,0.00,,0.00,,776.20,,100,,,,
Subcategory : 9009 WOOD BOXES-USA,,306,,0,,,,,2,,40.14,,0.00,,40.14,,22.35,,5.96,,11.83,,29.47,,,,
Category : 90 Misc Items,,-29 007,,0,,,,,195,,1 432.68,,0.00,,1 432.68,,181.13,,48.30,,1 203.25,,83.99,,,,
Category : 99 Non Sales,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 9901 OPEN NO TAX-USA,,-13,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 9910 RENTAL DEPOSIT-USA,,-48,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Category : 99 Non Sales,,-61,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Category : DP Deposits,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : DP01 DEPOSITS-USA,,13 979,,0,,,,,-282,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : DP02 RETURNS-USA,,-36 627,,0,,,,,247,,-24.70,,0.00,,-24.70,,0.00,,0.00,,-24.70,,100,,,,
Category : DP Deposits,,-22 648,,0,,,,,-35,,-24.70,,0.00,,-24.70,,0.00,,0.00,,-24.70,,100,,,,
Category : GC Gift Cards,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : GIFT GIFT CARD-UK,,1 376,,0,,,,,17,,735.00,,0.00,,735.00,,0.00,,0.00,,735.00,,100,,,,
Category : GC Gift Cards,,1 376,,0,,,,,17,,735.00,,0.00,,735.00,,0.00,,0.00,,735.00,,100,,,,
,,7 100,,0,,,,,14 696,,200 396.63,,788.71,,199 607.92,,142 688.34,,38 047.45,,18 872.13,,9.45,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
