Lapas numurs,Sludinājumidatums_2,Iela,Ist.,m2,Stāvs,Sērija,Veids,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Adrese,Iela full,Rajons,Merged,Year
153,Tiek pārdots kompakts trīs istabu dzīvoklis zaļā Juglas nostūrī.,,3,57,1/5,Hrušč.,Pardod,"50,000",877.1929825,Kvēles,21,"Latvia, Riga,",Jugla Kvēles 21,Jugla,"Latvia, Riga, Jugla Kvēles 21",2019
153,Premium dzīvoklis jaunajā projektā Mārtiņa Nams 2. Piedāvāju,,3,94,2/5,Jaun.,Pardod,"150,000",1595.744681,Slokas,59a,"Latvia, Riga,",Dzegužkalns Slokas 59a,Dzegužkalns,"Latvia, Riga, Dzegužkalns Slokas 59a",2019
153,"От владельца. Продается уютная, теплая 3-х комнатная квартира с",,3,64,1/9,602.,Pardod,"58,500",914.0625,Dammes,40,"Latvia, Riga,",Imanta Dammes 40,Imanta,"Latvia, Riga, Imanta Dammes 40",2019
154,Хозяин продает просторную 3-комнатную меблированную квартиру в З,,3,110,1/4,Jaun.,Pardod,"153,000",1390.909091,Gramzdas,80,"Latvia, Riga,",Zolitūde Gramzdas 80,Zolitūde,"Latvia, Riga, Zolitūde Gramzdas 80",2019
154,"Pilnībā renovēta koka ēka, blakus unikālajam Kalnciema kvartālam",,3,98,2/2,Renov.,Pardod,"160,000",1632.653061,Ernestīnes,15,"Latvia, Riga,",Āgenskalns Ernestīnes 15,Āgenskalns,"Latvia, Riga, Āgenskalns Ernestīnes 15",2019
154,Dzīvoklis ar skatu uz mežu projekta Meža ciems pēdējā mājā. Stud,,3,112,1/5,Jaun.,Pardod,"145,000",1294.642857,Biķernieku,41,"Latvia, Riga,",Mežciems Biķernieku 41,Mežciems,"Latvia, Riga, Mežciems Biķernieku 41",2019
154,Attīstītājs pārdod dzīvokli jaunajā projektā Ģipša Fabrika. Ēku,,3,131,1/1,Jaun.,Pardod,"260,000",1984.732824,Balasta d.,72,"Latvia, Riga,",Ķīpsala Balasta d. 72,Ķīpsala,"Latvia, Riga, Ķīpsala Balasta d. 72",2019
155,"Ja vajag plašumu un mājīgumu, šīs dzīvoklis ar gabarītu terasi u",,3,103,3/5,Jaun.,Pardod,"145,000",1407.76699,Dzelzavas,35/1,"Latvia, Riga,",Purvciems Dzelzavas 35/1,Purvciems,"Latvia, Riga, Purvciems Dzelzavas 35/1",2019
155,Владелец продаёт трёхкомнатную квартиру в тихом и уютном месте.,,3,105,1/4,Jaun.,Pardod,"157,000",1495.238095,Kaivas,29/2,"Latvia, Riga,",Mežciems Kaivas 29/2,Mežciems,"Latvia, Riga, Mežciems Kaivas 29/2",2019
155,Lat/rus Īpašnieks pārdod trīs istabu dzīvokli Teikā. Pārdod,,3,90,2/6,Jaun.,Pardod,"142,990",1588.777778,Āraišu,38,"Latvia, Riga,",Teika Āraišu 38,Teika,"Latvia, Riga, Teika Āraišu 38",2019
